"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
XSZ,Hojas  con fleje/ agrupados/ armados,,HOJAS  CON FLEJE/ AGRUPADOS/ ARMADOS
XT1,Tableta,,TABLETA
XTB,Tina,,TINA
XTC,Caja para té,,CAJA PARA TE
XTD,Tubo plegable,,TUBO PLEGABLE
XTG,Contenedor de tanque genérico,,CONTENEDOR DE TANQUE GENERICO
XTI,Tierce,,TIERCE
XTK,Tanque rectangular,,TANQUE RECTANGULAR
XTL,Tina con tapa,,TINA CON TAPA
XTN,Hojalata,,HOJALATA
XTO,Tonel,,TONEL
XTR,Maletero,,MALETERO
XTS,Estructura,,ESTRUCTURA
XTT,Bolsa de mano,,BOLSA DE MANO
XTU,Tubo,,TUBO
XTV,Tubo con boquilla,,TUBO CON BOQUILLA
XTW,Pallet tricapa,,PALLET TRICAPA
XTY,Tanque cilíndrico,,TANQUE CILINDRICO
XTZ,Tubos  con fleje/ agrupados/ armados,,TUBOS  CON FLEJE/ AGRUPADOS/ ARMADOS
XUC,Sin empaque,,SIN EMPAQUE
XUN,Unidad,,UNIDAD
XVA,Tanque,,TANQUE
XVG,"Tanque de gas (a 1,031 mbar y 15?áC)",,"TANQUE DE GAS (A 1,031 MBAR Y 15?áC)"
XVI,Frasco pequeño,,FRASCO PEQUENO
XVK,Paquete transportable,,PAQUETE TRANSPORTABLE
XVL,Contenedor para líquidos a granel,,CONTENEDOR PARA LIQUIDOS A GRANEL
XVN,Vehículo,,VEHICULO
XVO,"Contenedor para sólido de partículas grandes a granel (""nódulos"")",,CONTENEDOR PARA SOLIDO DE PARTICULAS GRANDES A GRANEL ( NODULOS )
XVP,Envasado al vacío,,ENVASADO AL VACIO
XVQ,Tanque para Gas licuado (a temperatura / presión anormal),,TANQUE PARA GAS LICUADO (A TEMPERATURA / PRESION ANORMAL)
XVR,Contenedor para sólidos de partículas granulares a granel (Granos),,CONTENEDOR PARA SOLIDOS DE PARTICULAS GRANULARES A GRANEL (GRANOS)
XVS,Contenedor de chatarra a granel,,CONTENEDOR DE CHATARRA A GRANEL
XVY,"Contenedor para sólido de partículas finas a granel (""polvos"")",,CONTENEDOR PARA SOLIDO DE PARTICULAS FINAS A GRANEL ( POLVOS )
XWA,Contenedor de granel intermedio,,CONTENEDOR DE GRANEL INTERMEDIO
XWB,Botella de mimbre,,BOTELLA DE MIMBRE
XWC,Contenedor intermedio para gráneles y de acero,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE ACERO
XWD,Contenedor intermedio para gráneles y de aluminio,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE ALUMINIO
XWF,Contenedor intermedio para gráneles y de metal,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE METAL
XWG,Contenedor intermedio para gráneles y de acero presurizado menor a 10 kpa,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE ACERO PRESURIZADO MENOR A 10 KPA
XWH,"Contenedor intermedio para gráneles y de aluminio, presurizado menor a 10 kpa",,"CONTENEDOR INTERMEDIO PARA GRANELES Y DE ALUMINIO, PRESURIZADO MENOR A 10 KPA"
XWJ,Contenedor intermedio para gráneles y de metal con una presión de 10 kpa,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE METAL CON UNA PRESION DE 10 KPA
XWK,Contenedor intermedio para gráneles y de acero para líquido,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE ACERO PARA LIQUIDO
XWL,Contenedor intermedio para gráneles y de aluminio para líquido,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE ALUMINIO PARA LIQUIDO
XWM,Contenedor intermedio para gráneles y de metal para líquido,,CONTENEDOR INTERMEDIO PARA GRANELES Y DE METAL PARA LIQUIDO
XWN,Contenedor intermedio para gráneles con tejido plástico sin capa con revestimiento,,CONTENEDOR INTERMEDIO PARA GRANELES CON TEJIDO PLASTICO SIN CAPA CON REVESTIMIENTO
XWP,Contenedor intermedio para gráneles con tejido plástico y recubierto,,CONTENEDOR INTERMEDIO PARA GRANELES CON TEJIDO PLASTICO Y RECUBIERTO
XWQ,Contenedor intermedio para gráneles con tejido plástico con revestimiento,,CONTENEDOR INTERMEDIO PARA GRANELES CON TEJIDO PLASTICO CON REVESTIMIENTO
XWR,"Contenedor intermedio para gráneles con tejido plástico, revestido y con forro",,"CONTENEDOR INTERMEDIO PARA GRANELES CON TEJIDO PLASTICO, REVESTIDO Y CON FORRO"
XWS,Contenedor intermedio para gráneles con película de plástico,,CONTENEDOR INTERMEDIO PARA GRANELES CON PELICULA DE PLASTICO
XWT,Contenedor intermedio para gráneles textil sin capa / forro,,CONTENEDOR INTERMEDIO PARA GRANELES TEXTIL SIN CAPA / FORRO
XWU,Contenedor intermedio para gráneles de madera natural con forro interior,,CONTENEDOR INTERMEDIO PARA GRANELES DE MADERA NATURAL CON FORRO INTERIOR
XWV,Contenedor intermedio para gráneles textil recubierto,,CONTENEDOR INTERMEDIO PARA GRANELES TEXTIL RECUBIERTO
XWW,Contenedor intermedio para gráneles textil con revestimiento,,CONTENEDOR INTERMEDIO PARA GRANELES TEXTIL CON REVESTIMIENTO
XWX,Contenedor intermedio para gráneles textil recubierto y con forro,,CONTENEDOR INTERMEDIO PARA GRANELES TEXTIL RECUBIERTO Y CON FORRO
XWY,Contenedor intermedio para gráneles contrachapado con revestimiento interior,,CONTENEDOR INTERMEDIO PARA GRANELES CONTRACHAPADO CON REVESTIMIENTO INTERIOR
XWZ,Contenedor intermedio para gráneles de madera reconstituida con revestimiento interior,,CONTENEDOR INTERMEDIO PARA GRANELES DE MADERA RECONSTITUIDA CON REVESTIMIENTO INTERIOR
XXA,"Bolsa de tejido plástico, sin abrigo interior ni forro",,"BOLSA DE TEJIDO PLASTICO, SIN ABRIGO INTERIOR NI FORRO"
XXB,Bolsa de tejido plástico a prueba de filtraciones,,BOLSA DE TEJIDO PLASTICO A PRUEBA DE FILTRACIONES
XXC,Bolsa de tejido plástico resistente al agua,,BOLSA DE TEJIDO PLASTICO RESISTENTE AL AGUA
XXD,Bolsa con película de plástico,,BOLSA CON PELICULA DE PLASTICO
XXF,Bolsa textil sin capa ni forro interior,,BOLSA TEXTIL SIN CAPA NI FORRO INTERIOR
XXG,Bolsa textil a prueba de filtraciones,,BOLSA TEXTIL A PRUEBA DE FILTRACIONES
XXH,Bolsa textil resistente al agua,,BOLSA TEXTIL RESISTENTE AL AGUA
XXJ,Bolsa de papel multi-pared,,BOLSA DE PAPEL MULTI-PARED
XXK,"Bolsa de papel multi-pared, resistente al agua",,"BOLSA DE PAPEL MULTI-PARED, RESISTENTE AL AGUA"
XYA,"Empaque compuesto, recipiente de plástico en tambor de acero",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN TAMBOR DE ACERO"
XYB,"Empaque compuesto, recipiente de plástico en cajas de acero",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJAS DE ACERO"
XYC,"Empaque compuesto, recipiente de plástico en tambor de aluminio",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN TAMBOR DE ALUMINIO"
XYD,"Empaque compuesto, recipiente de plástico en cajón de aluminio",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJON DE ALUMINIO"
XYF,"Empaque compuesto, recipiente de plástico en caja de madera",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJA DE MADERA"
XYG,"Empaque compuesto, recipiente de plástico en tambor de madera contrachapada",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN TAMBOR DE MADERA CONTRACHAPADA"
XYH,"Empaque compuesto, recipiente de plástico en caja de madera contrachapada",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJA DE MADERA CONTRACHAPADA"
XYJ,"Empaque compuesto, recipiente de plástico en tambor de fibra",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN TAMBOR DE FIBRA"
XYK,"Empaque compuesto, recipiente de plástico en caja de cartón",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJA DE CARTON"
XYL,"Empaque compuesto, recipiente de plástico en el tambor de plástico",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN EL TAMBOR DE PLASTICO"
XYM,"Empaque compuesto, recipiente de plástico en caja de plástico sólido",,"EMPAQUE COMPUESTO, RECIPIENTE DE PLASTICO EN CAJA DE PLASTICO SOLIDO"
XYN,"Empaque compuesto, receptáculo de vidrio en tambor de acero",,"EMPAQUE COMPUESTO, RECEPTACULO DE VIDRIO EN TAMBOR DE ACERO"
XYP,"Empaque compuesto, receptáculo de vidrio en caja de cajas de acero",,"EMPAQUE COMPUESTO, RECEPTACULO DE VIDRIO EN CAJA DE CAJAS DE ACERO"
XYQ,"Empaque compuesto, recipiente de vidrio en tambor de aluminio",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN TAMBOR DE ALUMINIO"
XYR,"Empaque compuesto, receptáculo de vidrio en caja de aluminio",,"EMPAQUE COMPUESTO, RECEPTACULO DE VIDRIO EN CAJA DE ALUMINIO"
XYS,"Empaque compuesto, recipiente de vidrio en caja de madera",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN CAJA DE MADERA"
XYT,"Empaque compuesto, recipiente de vidrio en tambor de madera contrachapada",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN TAMBOR DE MADERA CONTRACHAPADA"
Xyv,"Empaque compuesto, recipiente de vidrio en el cesto de mimbre",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN EL CESTO DE MIMBRE"
XYW,"Empaque compuesto, recipiente de vidrio en tambor de fibra",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN TAMBOR DE FIBRA"
XYX,"Empaque compuesto, recipiente de vidrio en caja de cartón",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN CAJA DE CARTON"
XYY,"Empaque compuesto, recipiente de vidrio en paquete de plástico expandible",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN PAQUETE DE PLASTICO EXPANDIBLE"
XYZ,"Empaque compuesto, recipiente de vidrio en paquete de plástico sólido",,"EMPAQUE COMPUESTO, RECIPIENTE DE VIDRIO EN PAQUETE DE PLASTICO SOLIDO"
XZA,"Contenedor de granel intermedio, papel, multi-pared",,"CONTENEDOR DE GRANEL INTERMEDIO, PAPEL, MULTI-PARED"
XZB,Bolsa grande,,BOLSA GRANDE
XZC,"Contenedor intermedio para gráneles de papel, multi-pared y resistente al agua",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PAPEL, MULTI-PARED Y RESISTENTE AL AGUA"
XZD,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para sólidos",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, CON EQUIPO ESTRUCTURAL PARA SOLIDOS"
XZF,"Contenedor intermedio para gráneles de plástico rígido, autoportante para sólidos",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, AUTOPORTANTE PARA SOLIDOS"
XZG,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural, presurizado",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, CON EQUIPO ESTRUCTURAL, PRESURIZADO"
XZH,"Contenedor intermedio para gráneles de plástico rígido, autoportante y presurizado",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, AUTOPORTANTE Y PRESURIZADO"
XZJ,"Contenedor intermedio para gráneles de plástico rígido, con equipo estructural para líquidos",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, CON EQUIPO ESTRUCTURAL PARA LIQUIDOS"
XZK,"Contenedor intermedio para gráneles de plástico rígido, autoportante, líquidos",,"CONTENEDOR INTERMEDIO PARA GRANELES DE PLASTICO RIGIDO, AUTOPORTANTE, LIQUIDOS"
XZL,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, sólidos",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO RIGIDO, SOLIDOS"
XZM,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, sólidos",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO FLEXIBLE, SOLIDOS"
XZN,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, presurizado",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO RIGIDO, PRESURIZADO"
XZP,"Contenedor intermedio para gráneles, compuesto y de plástico flexible, presurizado",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO FLEXIBLE, PRESURIZADO"
XZQ,"Contenedor intermedio para gráneles, compuesto y de plástico rígido, líquidos",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO RIGIDO, LIQUIDOS"
XZR,"Contenedor intermedio para gráneles, compuesto y de plástico flexible para líquidos",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO Y DE PLASTICO FLEXIBLE PARA LIQUIDOS"
XZS,"Contenedor intermedio para gráneles, compuesto",,"CONTENEDOR INTERMEDIO PARA GRANELES, COMPUESTO"
XZT,Contenedor intermedio para gráneles con tablero de fibras,,CONTENEDOR INTERMEDIO PARA GRANELES CON TABLERO DE FIBRAS
XZU,Contenedor intermedio para gráneles flexible,,CONTENEDOR INTERMEDIO PARA GRANELES FLEXIBLE
XZV,"Contenedor intermedio para gráneles de metal, distinto del acero",,"CONTENEDOR INTERMEDIO PARA GRANELES DE METAL, DISTINTO DEL ACERO"
XZW,"Contenedor intermedio para gráneles, de madera natural",,"CONTENEDOR INTERMEDIO PARA GRANELES, DE MADERA NATURAL"
XZX,"Contenedor intermedio para gráneles, de contrachapado",,"CONTENEDOR INTERMEDIO PARA GRANELES, DE CONTRACHAPADO"
XZY,"Contenedor intermedio para gráneles, de madera reconstituida",,"CONTENEDOR INTERMEDIO PARA GRANELES, DE MADERA RECONSTITUIDA"
YDK,Yarda cuadrada, yd?,YARDA CUADRADA
YDQ,Yarda cúbica, yd?,YARDA CUBICA
YL,Cien yardas lineales,,CIEN YARDAS LINEALES
YRD,Yarda, yd,YARDA
YT,Diez yardas,,DIEZ YARDAS
Z1,Furgoneta,,FURGONETA
Z11,Contenedor colgante,,CONTENEDOR COLGANTE
Z5,Arrastre,,ARRASTRE
Z6,Punto de conferencia,,PUNTO DE CONFERENCIA
Z8,Página de noticias,,PAGINA DE NOTICIAS
ZP,Páginas,,PAGINAS
ZZ,Mutuamente definido,,MUTUAMENTE DEFINIDO
